cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie,sous catégorie,Détails sous catégorie,Limite qualité ,Unité limite qualité,Commentaire limite qualité,Valeur sanitaire 1,Unité valeur sanitaire 1,Commentaire valeur sanitaire 1,Valeur sanitaire 2,Unité valeur sanitaire 2,Commentaire valeur sanitaire 2
PFHPS,6542,ACIDE PERFLUOROHEPTANE SULFONIQUE,Acide perfluoroheptane sulfonique (PFHpS),375-92-8,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFTRDA,6549,ACIDE PERFLUORO TRIDECANOIQUE,Acide perfluoro tridecanoique (PFTrDA),72629-94-8,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFDS,6550,ACIDE PERFLUORODECANE SULFONIQUE ,Acide perfluorodecane sulfonique ,335-77-3,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
ASPFOS,6560,ACIDE PERFLUOROOCTANE SULFONIQUE,Acide perfluorooctane sulfonique (PFOS),1763-23-1,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFOS,6561,ACIDE SULFONIQUE DE PERFLUOROOCTANE,Acide sulfonique de perfluorooctane,1763-23-1,PFAS,,,,,,0.18,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFOS,6561,SULFONATE DE PERFLUOROOCTANE,Sulfonate de perfluorooctane,45298-90-6,PFAS,,,,,,0.18,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFHXS,6830,PERFLUOROHEXANE SULFONATE,Perfluorohexane sulfonate,355-46-4,PFAS,,,,,,12,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFPS,8738,ACIDE PERFLUOROPENTANE SULFONIQUE,Acide perfluoropentane sulfonique (PFPS),2706-91-4,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFNS,8739,ACIDE PERFLUORONONANE SULFONIQUE,Acide perfluorononane sulfonique (PFNS),68259-12-1,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFUNDS,8740,ACIDE PERFLUORO UNDECANE SULFONIQUE,Acide perfluoro undecane sulfonique (PFUnDS),749786-16-1,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFDODS,8741,ACIDE PERFLUORODODÉCANE SULFONIQUE ,Acide perfluorododécane sulfonique (PFDoDS),79780-39-5,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFTRDS,8742,ACIDE PERFLUORO TRIDECANE SULFONIQUE,Acide perfluoro tridecane sulfonique (PFTrDS),791563-89-8,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
SPFAS,8847,SOMME DE 20 PFAS,Somme de 20 substances perfluoroalkylées (PFAS),,PFAS,,,0.1,µg/L,"Limite de qualité réglementaire pour la somme des concentrations de 20 PFAS issue de la Directive européenne ""eau potable"", adoptée officiellement par la France. Attention, cette norme est critiquée par la communauté scientifique qui ne la juge pas suffisamment protectrice",,,,,,
,, ,Somme de 4 PFAS (PFOA PFOS PFNA PFHXS),,PFAS,,,0.02,µg/L,"Limite non réglementaire, recommandée par le Haut Conseil de la Santé publique pour la somme des concentrations de 4 PFAS (PFOA, PFOS, PFNA, PFHxS). Valeur non retenue par le ministère de la Santé.",,,,,,
CLVYL,1753,CHLORURE DE VINYL MONOMÈRE,Chlorure de vinyl monomère,75-01-4,CVM,,,0.5,µg/L,,,,,,,
14DAN,1580,"1,4 DIOXANE","1,4 dioxane",123-91-1,Substances industrielles,,,0.35,µg/L,Limite non réglementaire préconisée par l'agence américaine de protection de l'environnement et recommandée par les ARS,,,,,,
PCLAT,6219,PERCHLORATE,Perchlorate,14797-73-0,Substances industrielles,,,,,,4,µg/L,Le ministère de la santé recommande de limiter l’utilisation d’eau dont la teneur en ions perchlorate dépasse 4 µg/L pour la préparation des biberons des nourrissons de moins de 6 mois ,15,µg/L,Le ministère de la santé recommande de limiter la consommation d’eau dont la teneur en ions perchlorate dépasse 15 µg/L pour les femmes enceintes et allaitantes (protégeant ainsi fœtus et nourrissons).
ENDOB,1179,ENDOSULFAN BÉTA,Endosulfan béta,33213-65-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ENDOA,1178,ENDOSULFAN ALPHA,Endosulfan alpha,959-98-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,180,,,,,
DCPMU,1929,"1-(3,4-DICHLOROPHÉNYL)-3-MÉTHYLURÉE","1-(3,4-dichlorophényl)-3-méthylurée",3567-62-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DCPU,1930,"1-(3,4-DICHLOROPHÉNYL)-URÉE","1-(3,4-dichlorophényl)-urée",2327-02-08,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
IPPU,2847,1-(4-ISOPROPYLPHENYL)-URÉE,1-(4-isopropylphenyl)-urée,56046-17-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MMTA,6803,"2-AMINO-4-METHOXY-6-METHYL-1,3,5-TRIAZINE","2-amino-4-methoxy-6-methyl-1,3,5-triazine",1668-54-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
2ANIP,6809,2-AMINO-N-ISO-PROPYLBENZAMIDE,2-amino-N-iso-propylbenzamide,30391-89-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ASDM,7716,"2-AMINOSULFONYL-N,N-DIMETHYLNICOTIN","2-Aminosulfonyl-N,N-dimethylnicotin",112006-75-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CDEPA,3283,"2-CHLORO-N-(2,6-DIETHYLPHENYL)ACETAMIDE","2-Chloro-N-(2,6-diethylphenyl)acetamide",6967-29-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
BENZENA,2932,2-ETHYL-6-METHYLANILINE,2-ethyl-6-methylaniline,24549-06-02,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
26DCB,2011,"2,6 DICHLOROBENZAMIDE","2,6 Dichlorobenzamide",2008-58-4,pesticides,métabolites,pertinent,0.1,µg/L,,110,,,,,
DEA,1943,"2,6-DIETHYLANILINE","2,6-Diethylaniline",579-66-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
3KETCA,2942,3-KETOCARBOFURAN,3-Ketocarbofuran,16709-30-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
34DCLA,1586,"3,4-DICHLOROANILINE","3,4-dichloroaniline",95-76-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
4ISPRO,1932,4-ISOPROPYLANILINE,4-Isopropylaniline,99-88-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
44DCBP,3165,"4,4'-DICHLOROBENZOPHENONE","4,4'-Dichlorobenzophenone",90-98-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ALDSN,1807,ALDICARBE SULFONÉ,Aldicarbe sulfoné,1646-88-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ALDSY,1806,ALDICARBE SULFOXYDE,Aldicarbe sulfoxyde,1646-87-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
AMPA,1907,AMPA,AMPA,1066-51-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,900,,,,,
AD2H,3160,ATRAZINE DÉISOPROPYL-2-HYDROXY,Atrazine déisopropyl-2-hydroxy,7313-54-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,60,,,,,
ADET,1108,ATRAZINE DÉSÉTHYL,Atrazine déséthyl,6190-65-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,60,,,,,
ADETD,1830,ATRAZINE DÉSÉTHYL DÉISOPROPYL,Atrazine déséthyl déisopropyl,3397-62-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,60,,,,,
ADET2,3159,ATRAZINE DÉSÉTHYL-2-HYDROXY,Atrazine déséthyl-2-hydroxy,19988-24-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
A2H,1832,ATRAZINE-2-HYDROXY,Atrazine-2-hydroxy,2163-68-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,120,,,,,
ADSP,1109,ATRAZINE-DÉISOPROPYL,Atrazine-déisopropyl,1007-28-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,60,,,,,
AUSN,7719,AUSN,"2-[(carbamimidoylcarbamoyl)sulfamoyl]-N,Ndimethylpyridine-3-carboxamid",2307738-55-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
AUSN,7719,AUSN,"2-[(carbamimidoylcarbamoyl)sulfamoyl]-N,Ndimethylpyridine-3-carboxamid",,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DIM2ESA,6381,CGA 354742,CGA 354742,,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
ESADIM2,6381,CGA 354742,CGA 354742,,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
ESADIM1,7727,CGA 369873,CGA 369873,,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
DIM1ESA,7727,CGA 369873,CGA 369873,,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
KEP5BH,6577,CHLORDECONE 5B HYDRO,Chlordecone 5b Hydro,53308-47-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CLDZ_D,6378,CHLORIDAZONE DESPHÉNYL,Chloridazone desphényl,6339-19-1,pesticides,métabolites,pertinent,0.1,µg/L,,11,,,,,
CLDZ_MD,6379,CHLORIDAZONE MÉTHYL DESPHÉNYL,Chloridazone méthyl desphényl,17254-80-7,pesticides,métabolites,pertinent,0.1,µg/L,,110,,,,,
2CP,1471,CHLOROPHÉNOL-2,Chlorophénol-2,95-57-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
4CP,1650,CHLOROPHÉNOL-4,Chlorophénol-4,106-48-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CLTHAR6,,CHLOROTHALONIL MÉTABOLITE R611965,Chlorothalonil métabolite R611965,142733-37-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CLTHSYN,,CHLOROTHALONIL MÉTABOLITE SYN507900,Chlorothalonil métabolite SYN507900,115044-73-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CLTHALS,7717,CHLOROTHALONIL R417888,Chlorothalonil R417888,1418095-02-9,pesticides,métabolites,pertinent,0.1,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
471811R,8865,CHLOROTHALONIL R471811,Chlorothalonil R471811,,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
R471811,8865,CHLOROTHALONIL R471811,Chlorothalonil R471811,,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
CLTHALS,7717,CHLOROTHALONIL SA,Chlorothalonil SA,1418095-02-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
CLTHA4H,7715,CHLOROTHALONIL-4-HYDROXY,Chlorothalonil-4-hydroxy,28343-61-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
CMBA,1944,CMBA,CMBA,53250-83-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DDD24,1143,"DDD-2,4'","DDD-2,4'",53-19-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DDD44,1144,"DDD-4,4'","DDD-4,4'",72-54-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,Absence,,,,,
DDE24,1145,"DDE-2,4'","DDE-2,4'",3424-82-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DDE44,1146,"DDE-4,4'","DDE-4,4'",72-55-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DMTE,1154,DEMÉTON S MÉTHYL SULFONÉ,Deméton S méthyl sulfoné,17040-19-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
D-CTOL,7782,DESMÉTHYL-CHLORTOLURON,Desméthyl-chlortoluron,22175-22-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PIRIDM,5531,DESMETHYL-PIRIMICARB,Desmethyl-pirimicarb,30614-22-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
IPPMU,2738,DESMÉTHYLISOPROTURON,Desméthylisoproturon,34123-57-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
NORFLDM,2737,DESMETHYLNORFLURAZON,Desmethylnorflurazon,23576-24-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,45,,,,,
24DCP,1486,"DICHLOROPHÉNOL-2,4","Dichlorophénol-2,4",120-83-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DC42443,8860,DIMÉTHACHLORE CGA 42443,"N-(2,6-dimethylphenyl)-N-(2-methoxyethyl) acétamide",1231710-71-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
OXADIM,6380,DIMÉTHACHLORE OXA,Diméthachlore OXA,1086384-49-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
DMTHESA,6865,DIMÉTHÉNAMIDE ESA,Diméthénamide ESA,205939-58-8,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
ESADMTH,6865,DIMÉTHÉNAMIDE ESA,Diméthénamide ESA,205939-58-8,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
DMTHOXA,7735,DIMÉTHÉNAMIDE OXA,Diméthénamide OXA,380412-59-9,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
OXADMTH,7735,DIMÉTHÉNAMIDE OXA,Diméthénamide OXA,380412-59-9,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
ENDOS,1742,ENDOSULFAN SULFATE,Endosulfan sulfate,1031-07-08,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ENDRAL,2941,ENDRINE ALDÉHYDE,Endrine aldéhyde,7421-93-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CETCESA,6856,ESA ACETOCHLORE,ESA acetochlore,187022-11-3,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
ESACETC,6856,ESA ACETOCHLORE,ESA acetochlore,187022-11-3,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
ESALCL,6800,ESA ALACHLORE,ESA alachlore,142363-53-9,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
LCLESA,6800,ESA ALACHLORE,ESA alachlore,142363-53-9,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
MTZCESA,6895,ESA METAZACHLORE,ESA metazachlore,172960-62-2,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
ESAMTZC,6895,ESA METAZACHLORE,ESA metazachlore,172960-62-2,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
ESAMTC,6854,ESA METOLACHLORE,ESA metolachlore,171118-09-5,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
MTCESA,6854,ESA METOLACHLORE,ESA metolachlore,171118-09-5,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
ETSN,5528,ETHIOFENCARB SULFONE,Ethiofencarb sulfone,53380-23-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ETSY,6534,ETHIOFENCARB SULFOXYDE,Ethiofencarb sulfoxyde,53380-22-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ETU,5648,ETHYLENETHIOUREE,Ethylenethiouree,96-45-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ETNUR,6601,ETHYLENEUREE,Ethyleneuree,120-93-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
FIPRO01,6262,FIPRONIL DÉSULFINYL,Fipronil désulfinyl,205650-65-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
FIPRO03,6261,FIPRONIL SULFIDE,Fipronil sulfide,120067-83-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
FIPRO02,6260,FIPRONIL SULFONE,Fipronil sulfone,120068-36-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ESAFLU,6864,FLUFENACET ESA,Flufenacet ESA,201668-32-8,pesticides,métabolites,pertinent,0.1,µg/L,,1,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
OXAFLU,6863,FLUFÉNACET OXA,Flufénacet OXA,201668-31-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
HEPE,1198,HEPTACHLORE ÉPOXYDE,Heptachlore époxyde,,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
HEPEC,1748,HEPTACHLORE ÉPOXYDE CIS,Heptachlore époxyde cis,1024-57-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,0.03,,,,,
HEPET,1749,HEPTACHLORE ÉPOXYDE TRANS,Heptachlore époxyde trans,28044-83-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
3HXC,1805,HYDROXYCARBOFURAN-3,Hydroxycarbofuran-3,16655-82-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
TBZH,1954,HYDROXYTERBUTHYLAZINE,Hydroxyterbuthylazine,66753-07-09,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MALAOX,5787,MALAOXON,Malaoxon,1634-78-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MESUO,1803,METHIOCARB SULFONE,Methiocarb sulfone,2179-25-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MESUY,1804,METHIOCARB SULFOXYDE,Methiocarb sulfoxyde,2635-10-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
CARB3M,8769,METHYL-3-HYDROXYLPHENYLCARBAMATE,Methyl-3-hydroxylphenylcarbamate,13683-89-1,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MTCNOA,7729,METOLACHLOR NOA 413173,Metolachlor NOA 413173,1418095-19-8,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
NOAMTC,7729,METOLACHLOR NOA 413173,Metolachlor NOA 413173,1418095-19-8,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
MTC3577,7731,MÉTOLACHLORE MÉTABOLITE CGA 357704,Métolachlore métabolite CGA 357704,1217465-10-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
MTC3682,7730,MÉTOLACHLORE MÉTABOLITE CGA 368208,Métolachlore métabolite CGA 368208,1173021-76-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DMST,6824,"N,N-DIMET-TOLYLSULPHAMID","N,N-Dimet-tolylsulphamid",66840-71-9,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
DMSA,7618,"N,N-DIMÉTHYL-N'-PHÉNYLSULFAMIDE","N,N-diméthyl-N'-phénylsulfamide",4710-17-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
NDMS,6384,"N,N-DIMETHYLSULFAMIDE","N,N-Dimethylsulfamide",3984-14-3,pesticides,métabolites,pertinent,0.1,µg/L,,Absence,,,,,
CETCOXA,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
OXACETC,6862,OXA ACETOCHLORE,OXA acetochlore,194992-44-4,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
OXALCL,6855,OXA ALACHLORE,OXA alachlore,171262-17-2,pesticides,métabolites,pertinent,0.1,µg/L,,50,,,,,
OXAMTZC,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
MTZCOXA,6894,OXA METAZACHLORE,OXA metazachlore,1231244-60-2,pesticides,métabolites,non pertinent,0.9,µg/L,,3,µg/L,"Valeur sanitaire transitoire établie par l'agence allemande UBA, utilisée par la France en l'absence de Vmax fixée par l'Anses",,,
OXAMTC,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
MTCOXA,6853,OXA METOLACHLORE,OXA metolachlore,152019-73-3,pesticides,métabolites,non pertinent,0.9,µg/L,,,,,,,
OCHA,1848,OXYCHLORDANE,Oxychlordane,27304-13-8,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PARAOX,5806,PARAOXON,Paraoxon,311-45-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PARM,5793,PARAOXON MÉTHYL,Paraoxon méthyl,950-35-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
12345CB,1888,PENTACHLOROBENZÈNE,Pentachlorobenzène,608-93-5,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PHRTS,7149,PHORATE SULFONE,Phorate Sulfone,2588-04-07,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PHTHA,7587,PHTHALIMIDE,Phthalimide,85-41-6,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PIFODM,5532,PIRIMICARB FORMAMIDO DESMÉTHYL,Pirimicarb formamido desméthyl,27218-04-08,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PPCHL_E,6887,PROPACHLORE ESA,Propachlore ESA,123732-85-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PPCHL_O,7736,PROPACHLORE OXA,Propachlore OXA,70628-36-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PRP2H,5968,PROPAZINE 2-HYDROXY,Propazine 2-hydroxy,7374-53-0,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PTU,6214,PROPYLENE THIOUREE,Propylene thiouree,2122-19-2,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
PRODES,7936,PROTHIOCONAZOLE-DESTHIO,Prothioconazole-Desthio,120983-64-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
ACETSAA,7718,SAA ACÉTOCHLORE,SAA Acétochlore,618113-86-3,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
SBAZ2H,6101,SEBUTHYLAZINE 2-HYDROXY,Sebuthylazine 2-hydroxy,33124-61-7,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
SEBUT2H,5981,SEBUTHYLAZINE DÉSÉTHYL,Sebuthylazine déséthyl,37019-18-4,pesticides,métabolites,pertinent par défaut,0.1,µg/L,,,,,,,
