cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie,sous catégorie,Détails sous catégorie,Limite qualité ,Unité limite qualité,Commentaire limite qualité,Valeur sanitaire 1,Unité valeur sanitaire 1,Commentaire valeur sanitaire 1,Valeur sanitaire 2,Unité valeur sanitaire 2,Commentaire valeur sanitaire 2
PFOA,5347,ACIDE PERFLUORO-OCTANOÏQUE,Acide perfluoro-octanoïque,335-67-1,PFAS,,,,,,0.075,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFHPA,5977,ACIDE PERFLUOROHEPTANOÏQUE,Acide perfluoroheptanoïque,375-85-9,PFAS,,,,,,0.075,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFHXA,5978,ACIDE PERFLUOROHEXANOÏQUE,Acide perfluorohexanoïque,307-24-4,PFAS,,,,,,960,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFPEA,5979,ACIDE PERFLUOROPENTANOÏQUE,Acide perfluoropentanoïque,2706-90-3,PFAS,,,,,,960,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFBA,5980,ACIDE PERFLUOROBUTANOÏQUE,Acide perfluorobutanoïque,375-22-4,PFAS,,,,,,72,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFBS,6025,PERFLUOROBUTANE SULFONATE,Perfluorobutane sulfonate,59933-66-3,PFAS,,,,,,240,µg/L,Valeur sanitaire indicative établie par l'Anses en 2017. Valeur établie pour une population adulte (> 60 kg). Valeur en cours de révision par l'Anses,,,
PFDODA,6507,ACIDE PERFLUORODODÉCANOIQUE,Acide perfluorododécanoique (PFDoDA),307-55-1,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFNA,6508,ACIDE PERFLUORO-NONANOÏQUE,Acide perfluoro-nonanoïque,375-95-1,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFDA,6509,ACIDE PERFLUORO-DECANOÏQUE,Acide perfluoro-decanoïque,335-76-2,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
PFUNA,6510,ACIDE PERFLUORO UNDECANOÏQUE,Acide perfluoro undecanoïque (PFUnA),2058-94-8,PFAS,,,,,,,,Valeur sanitaire en cours d'élaboration par l'Anses,,,
