code_udi,sentence,population
001000437,Votre réseau alimente de façon permanente 1195 personnes.,1195
001000439,Votre réseau alimente de façon permanente 823 personnes.,823
001000440,Votre réseau alimente de façon permanente 293 personnes.,293
001000442,Votre réseau alimente de façon permanente 304 personnes.,304
001000445,Votre réseau alimente de façon permanente 8 personnes.,8
001000447,Votre réseau alimente de façon permanente 802 personnes.,802
001000453,Votre réseau alimente de façon permanente 1213 personnes.,1213
001000455,Votre réseau alimente de façon permanente 1 personnes.,1
001000457,Votre réseau alimente de façon permanente 81 personnes.,81
001000459,Votre réseau alimente de façon permanente 110 personnes.,110
001000460,Votre réseau alimente de façon permanente 3545 personnes.,3545
001000464,Votre réseau alimente de façon permanente 322 personnes.,322
001000466,Votre réseau alimente de façon permanente 884 personnes.,884
001000470,Votre réseau alimente de façon permanente 1266 personnes.,1266
001000472,Votre réseau alimente de façon permanente 487 personnes.,487
001000473,Votre réseau alimente de façon permanente 8 personnes.,8
001000483,Votre réseau alimente de façon permanente 12244 personnes.,12244
001000484,Votre réseau alimente de façon permanente 8536 personnes.,8536
001000487,Votre réseau alimente de façon permanente 2629 personnes.,2629
001000488,Votre réseau alimente de façon permanente 785 personnes.,785
001000490,Votre réseau alimente de façon permanente 286 personnes.,286
001000493,Votre réseau alimente de façon permanente 733 personnes.,733
001000494,Votre réseau alimente de façon permanente 15 personnes.,15
001000495,Votre réseau alimente de façon permanente 8 personnes.,8
001000498,Votre réseau alimente de façon permanente 23 personnes.,23
001000499,Votre réseau alimente de façon permanente 68 personnes.,68
001000503,Votre réseau alimente de façon permanente 902 personnes.,902
001000511,Votre réseau alimente de façon permanente 1892 personnes.,1892
001000513,Votre réseau alimente de façon permanente 2272 personnes.,2272
001000525,Votre réseau alimente de façon permanente 220 personnes.,220
001000526,Votre réseau alimente de façon permanente 50 personnes.,50
001000527,Votre réseau alimente de façon permanente 25 personnes.,25
001000528,Votre réseau alimente de façon permanente 276 personnes.,276
001000529,Votre réseau alimente de façon permanente 57 personnes.,57
001000531,Votre réseau alimente de façon permanente 71 personnes.,71
001000533,Votre réseau alimente de façon permanente 90 personnes.,90
001000539,Votre réseau alimente de façon permanente 134 personnes.,134
001000541,Votre réseau alimente de façon permanente 1799 personnes.,1799
001000550,Votre réseau alimente de façon permanente 5568 personnes.,5568
001000556,Votre réseau alimente de façon permanente 15887 personnes.,15887
001000567,Votre réseau alimente de façon permanente 9007 personnes.,9007
001000578,Votre réseau alimente de façon permanente 400 personnes.,400
001000583,Votre réseau alimente de façon permanente 447 personnes.,447
001000584,Votre réseau alimente de façon permanente 30 personnes.,30
001000585,Votre réseau alimente de façon permanente 554 personnes.,554
001000586,Votre réseau alimente de façon permanente 20 personnes.,20
001000589,Votre réseau alimente de façon permanente 890 personnes.,890
001000591,Votre réseau alimente de façon permanente 353 personnes.,353
001000592,Votre réseau alimente de façon permanente 118 personnes.,118
001000595,Votre réseau alimente de façon permanente 1600 personnes.,1600
001000598,Votre réseau alimente de façon permanente 2699 personnes.,2699
001000602,Votre réseau alimente de façon permanente 751 personnes.,751
001000607,Votre réseau alimente de façon permanente 13793 personnes.,13793
001000614,Votre réseau alimente de façon permanente 25607 personnes.,25607
001000618,Votre réseau alimente de façon permanente 7416 personnes.,7416
001000623,Votre réseau alimente de façon permanente 11446 personnes.,11446
001000630,Votre réseau alimente de façon permanente 1680 personnes.,1680
001000639,Votre réseau alimente de façon permanente 160 personnes.,160
001000641,Votre réseau alimente de façon permanente 83 personnes.,83
001000645,Votre réseau alimente de façon permanente 36 personnes.,36
001000646,Votre réseau alimente de façon permanente 315 personnes.,315
001000655,Votre réseau alimente de façon permanente 4968 personnes.,4968
001000662,Votre réseau alimente de façon permanente 12718 personnes.,12718
